deliverydate,shippedqty
2021-01-02,2675712.0
2021-01-03,175539.0
2021-01-04,861634.0
2021-01-05,5704518.0
2021-01-06,4662007.0
2021-01-07,1745666.0
2021-01-08,3982210.0
2021-01-10,424292.0
2021-01-12,4050525.0
2021-01-16,5951196.0
2021-01-17,194394.0
2021-01-19,3194843.0
2021-01-21,3874972.0
2021-01-22,4029718.0
2021-01-23,3293014.0
2021-01-24,2211588.0
2021-01-27,4992425.0
2021-01-28,4053337.0
2021-01-31,104226.0
2021-02-01,4683515.0
2021-02-02,1903270.0
2021-02-03,3865639.0
2021-02-04,5309109.0
2021-02-05,3735503.0
2021-02-07,181290.0
2021-02-09,1542805.0
2021-02-11,2006050.0
2021-02-12,4085381.0
2021-02-13,2770691.0
2021-02-14,523228.0
2021-02-15,4448324.0
2021-02-16,2988279.0
2021-02-19,3342792.0
2021-02-20,4137462.0
2021-02-21,250756.0
2021-02-23,3242240.0
2021-02-25,4122016.0
2021-02-28,386509.0
2021-03-01,2232000.0
2021-03-02,1261813.0
2021-03-03,5053518.0
2021-03-04,4118033.0
2021-03-05,5925113.0
2021-03-06,4685470.0
2021-03-07,739354.0
2021-03-08,3082393.0
2021-03-09,5082814.0
2021-03-10,3938520.0
2021-03-11,3485398.0
2021-03-12,5191468.0
2021-03-13,5894640.0
2021-03-14,507354.0
2021-03-16,2964526.0
2021-03-17,5271354.0
2021-03-18,5283030.0
2021-03-21,744444.0
2021-03-24,4489780.0
2021-03-25,4375936.0
2021-03-26,4451505.0
2021-03-27,4679126.0
2021-03-28,262744.0
2021-03-29,6043105.0
2021-04-01,309654.0
2021-04-02,14310.0
2021-04-03,99535.0
2021-04-04,95034.0
2021-04-05,5491592.0
2021-04-06,3166987.0
2021-04-07,4241818.0
2021-04-08,3259708.0
2021-04-09,1957744.0
2021-04-11,680732.0
2021-04-13,5209775.0
2021-04-18,204.0
2021-04-20,3450520.0
2021-04-22,4214878.0
2021-04-24,5622258.0
2021-04-25,478922.0
2021-05-01,64382.0
2021-05-02,203220.0
2021-05-03,1709585.0
2021-05-04,2844684.0
2021-05-05,2412586.0
2021-05-06,3456906.0
2021-05-07,4451962.0
2021-05-08,3034702.0
2021-05-09,277156.0
2021-05-10,5104922.0
2021-05-11,3881860.0
2021-05-13,2591976.0
2021-05-14,4728258.0
2021-05-15,3874802.0
2021-05-16,44640.0
2021-05-17,3988755.0
2021-05-18,5025080.0
2021-05-20,3014900.0
2021-05-21,5495272.0
2021-05-22,2012056.0
2021-05-23,486508.0
2021-05-24,4987225.0
2021-05-25,5085513.0
2021-05-26,5241006.0
2021-05-27,2976060.0
2021-05-30,33600.0
2021-06-01,1242266.0
2021-06-02,3317865.0
2021-06-03,1197978.0
2021-06-04,3436658.0
