deliverydate,shippedqty
2021-01-02,1993564.0
2021-01-03,34037.0
2021-01-04,1247476.0
2021-01-05,2172283.0
2021-01-06,2168990.0
2021-01-07,436621.0
2021-01-10,86987.0
2021-01-12,2099304.0
2021-01-16,2163205.0
2021-01-17,168656.0
2021-01-18,2742003.0
2021-01-19,2042017.0
2021-01-20,2453063.0
2021-01-21,1533302.0
2021-01-22,1784119.0
2021-01-23,2553058.0
2021-01-24,688608.0
2021-01-27,2422773.0
2021-01-28,2502530.0
2021-01-31,22746.0
2021-02-01,1908566.0
2021-02-02,1212448.0
2021-02-03,1635713.0
2021-02-04,1450036.0
2021-02-05,1513500.0
2021-02-06,1450993.0
2021-02-07,99635.0
2021-02-09,1642496.0
2021-02-10,2312402.0
2021-02-11,969093.0
2021-02-12,2382592.0
2021-02-13,1483512.0
2021-02-14,271110.0
2021-02-15,2079849.0
2021-02-16,2326305.0
2021-02-20,2644875.0
2021-02-21,157106.0
2021-02-23,2377185.0
2021-02-24,2532670.0
2021-02-28,158295.0
2021-03-01,2423519.0
2021-03-02,471316.0
2021-03-03,1626135.0
2021-03-04,1167315.0
2021-03-06,2024471.0
2021-03-07,463186.0
2021-03-09,2519247.0
2021-03-10,1524807.0
2021-03-11,2206174.0
2021-03-12,2162394.0
2021-03-13,2405890.0
2021-03-14,252324.0
2021-03-16,1312063.0
2021-03-17,1842796.0
2021-03-18,1311744.0
2021-03-21,370593.0
2021-03-22,2326809.0
2021-03-23,1795010.0
2021-03-24,2320877.0
2021-03-25,1465998.0
2021-03-26,2313003.0
2021-03-27,2593123.0
2021-03-28,79699.0
2021-03-29,2761393.0
2021-04-01,112689.0
2021-04-03,9156.0
2021-04-04,13332.0
2021-04-05,1089647.0
2021-04-06,1153261.0
2021-04-07,1774409.0
2021-04-08,1688528.0
2021-04-09,1212840.0
2021-04-10,2083986.0
2021-04-11,371909.0
2021-04-12,2295865.0
2021-04-13,2082671.0
2021-04-14,1781016.0
2021-04-15,2617983.0
2021-04-17,2320393.0
2021-04-18,7704.0
2021-04-20,1474239.0
2021-04-21,2192616.0
2021-04-23,2580094.0
2021-04-25,304344.0
2021-05-01,77804.0
2021-05-02,354270.0
2021-05-03,1690332.0
2021-05-04,1465100.0
2021-05-05,1689721.0
2021-05-06,1587324.0
2021-05-07,2741339.0
2021-05-08,1593296.0
2021-05-09,106175.0
2021-05-10,2240196.0
2021-05-11,2476445.0
2021-05-13,1566205.0
2021-05-14,1461726.0
2021-05-15,1403298.0
2021-05-16,54396.0
2021-05-20,1840846.0
2021-05-21,2597097.0
2021-05-22,1069717.0
2021-05-23,294390.0
2021-05-24,1955260.0
2021-05-25,2259677.0
2021-05-27,2504828.0
2021-05-30,7092.0
2021-06-01,2287076.0
2021-06-02,2206646.0
2021-06-03,583238.0
2021-06-04,1781608.0
2021-06-05,1172400.0
2021-06-06,152354.0
2021-06-07,1540034.0
2021-06-08,2522785.0
2021-06-09,2519350.0
2021-06-10,1008220.0
2021-06-12,340300.0
2021-06-14,2721322.0
2021-06-15,1651340.0
2021-06-17,2490486.0
2021-06-18,2124612.0
2021-06-20,235330.0
2021-06-21,2776594.0
2021-06-22,2165664.0
2021-06-24,1744760.0
2021-06-26,2646156.0
2021-06-27,161890.0
2021-06-28,2645328.0
2021-06-29,2269290.0
2021-07-01,274118.0
2021-07-02,735712.0
2021-07-03,484268.0
2021-07-05,1603476.0
2021-07-06,1842348.0
2021-07-07,709980.0
2021-07-08,1212558.0
2021-07-09,1130950.0
2021-07-10,1757442.0
2021-07-11,21230.0
2021-07-12,1905812.0
2021-07-13,2038874.0
2021-07-14,1239550.0
2021-07-15,1149532.0
2021-07-16,2550308.0
2021-07-17,2149170.0
2021-07-20,1372126.0
2021-07-21,2715080.0
2021-07-22,745456.0
2021-07-23,2490912.0
2021-07-24,1986912.0
2021-07-25,42360.0
2021-07-27,1545050.0
2021-07-29,2755256.0
2021-08-02,1187628.0
2021-08-03,964742.0
2021-08-04,665804.0
2021-08-05,902082.0
2021-08-06,2418394.0
2021-08-08,116982.0
2021-08-10,1864170.0
2021-08-11,1305400.0
2021-08-12,1211216.0
2021-08-13,2151554.0
2021-08-14,1809508.0
2021-08-17,2153072.0
2021-08-19,1197012.0
2021-08-20,1747398.0
2021-08-21,517668.0
2021-08-22,197932.0
2021-08-24,1850534.0
2021-08-26,2582608.0
2021-08-29,239012.0
2021-09-01,295230.0
2021-09-02,584478.0
2021-09-03,1075564.0
2021-09-05,1632.0
2021-09-06,1081890.0
2021-09-07,1949596.0
2021-09-08,2321326.0
2021-09-09,1331708.0
2021-09-10,2275184.0
2021-09-11,2352276.0
2021-09-12,250954.0
2021-09-14,870098.0
2021-09-15,1318558.0
2021-09-16,450888.0
2021-09-17,1949142.0
2021-09-18,43200.0
2021-09-20,539342.0
2021-09-21,208206.0
2021-09-22,94016.0
2021-09-23,1198458.0
2021-09-24,2181776.0
2021-09-26,559386.0
2021-09-27,2160148.0
2021-10-01,390244.0
2021-10-02,853320.0
2021-10-03,7920.0
2021-10-04,661500.0
2021-10-05,725750.0
