deliverydate,shippedqty
2021-01-02,5930.0
2021-01-05,7341.0
2021-01-06,4671.0
2021-01-07,3529.0
2021-01-08,8958.0
2021-01-09,1204.0
2021-01-11,9878.0
2021-01-12,7579.0
2021-01-14,8195.0
2021-01-16,751.0
2021-01-23,781.0
2021-01-26,7261.0
2021-01-27,10288.0
2021-02-02,4714.0
2021-02-03,5902.0
2021-02-04,8000.0
2021-02-05,6256.0
2021-02-06,1039.0
2021-02-08,5784.0
2021-02-09,4552.0
2021-02-10,4076.0
2021-02-11,5866.0
2021-02-16,8222.0
2021-02-18,3686.0
2021-02-19,3152.0
2021-02-20,754.0
2021-02-22,5200.0
2021-02-23,6092.0
2021-02-24,7933.0
2021-03-04,9543.0
2021-03-05,6850.0
2021-03-06,2557.0
2021-03-08,8438.0
2021-03-09,8780.0
2021-03-10,3788.0
2021-03-11,9545.0
2021-03-12,3262.0
2021-03-13,2501.0
2021-03-15,4067.0
2021-03-16,4023.0
2021-03-17,2061.0
2021-03-18,6872.0
2021-03-19,6268.0
2021-03-20,2357.0
2021-03-22,1229.0
2021-03-23,5064.0
2021-03-24,1482.0
2021-03-25,5215.0
2021-03-26,4578.0
2021-03-27,1420.0
2021-04-10,4668.0
2021-04-12,6492.0
2021-04-13,9707.0
2021-04-14,9654.0
2021-04-16,5012.0
2021-04-17,1698.0
2021-04-19,2864.0
2021-04-20,4343.0
2021-04-21,3626.0
2021-04-23,8171.0
2021-04-24,2186.0
2021-04-26,1368.0
2021-04-27,1830.0
2021-04-28,8997.0
2021-04-29,9171.0
2021-05-03,8912.0
2021-05-05,4974.0
2021-05-06,4590.0
2021-05-07,5167.0
2021-05-08,83.0
2021-05-10,7936.0
2021-05-11,2959.0
2021-05-12,7269.0
2021-05-13,4906.0
2021-05-14,5078.0
2021-05-15,6623.0
2021-05-17,8526.0
2021-05-18,7990.0
2021-05-22,1453.0
2021-05-28,6013.0
2021-06-05,2271.0
2021-06-12,1495.0
2021-06-15,8835.0
2021-06-16,4870.0
2021-06-17,6406.0
2021-06-18,9062.0
2021-06-19,2853.0
2021-06-22,8870.0
2021-06-23,6907.0
2021-06-26,3154.0
2021-07-03,1636.0
2021-07-06,5027.0
2021-07-07,8097.0
2021-07-10,4683.0
2021-07-17,5947.0
2021-07-20,5770.0
2021-07-21,3911.0
2021-07-22,7825.0
2021-07-23,7050.0
2021-07-24,4848.0
2021-07-26,3257.0
2021-07-27,8712.0
2021-07-28,7007.0
2021-08-03,9156.0
2021-08-04,8892.0
2021-08-06,10323.0
2021-08-07,2187.0
2021-08-10,7416.0
2021-08-14,775.0
2021-08-16,6734.0
2021-08-17,5448.0
2021-08-18,6774.0
2021-08-20,9810.0
2021-08-21,1647.0
2021-08-23,8807.0
2021-08-24,5138.0
2021-08-25,5694.0
2021-08-26,8854.0
2021-08-27,6475.0
2021-08-28,1585.0
2021-08-30,9067.0
2021-09-01,6862.0
2021-09-04,1427.0
2021-09-06,7822.0
2021-09-07,7557.0
2021-09-09,5676.0
2021-09-10,6888.0
2021-09-11,1977.0
2021-09-13,7124.0
2021-09-14,5222.0
2021-09-15,5822.0
2021-09-16,6647.0
2021-09-17,5882.0
2021-09-18,1423.0
2021-09-20,5524.0
2021-09-21,4682.0
2021-09-23,5367.0
2021-09-29,7963.0
2021-10-04,3860.0
2021-10-07,6089.0
2021-10-08,3266.0
2021-10-11,8892.0
2021-10-12,258.0
2021-10-13,216.0
2021-10-16,1083.0
2021-10-18,768.0
2021-10-19,40.0
2021-10-21,147.0
2021-10-23,2304.0
2021-10-25,284.0
2021-10-26,24.0
2021-11-02,2736.0
2021-11-03,3716.0
2021-11-04,2026.0
2021-11-10,16.0
2021-11-17,4899.0
2021-11-18,9372.0
2021-11-19,122.0
2021-11-20,1383.0
2021-11-22,6319.0
2021-11-23,5831.0
2021-11-24,2881.0
2021-11-25,2438.0
2021-11-26,5895.0
2021-11-27,2256.0
2021-11-29,2259.0
2021-12-02,8346.0
2021-12-03,4502.0
2021-12-06,2532.0
2021-12-07,5241.0
2021-12-08,6080.0
2021-12-09,9451.0
2021-12-10,169.0
2021-12-13,7918.0
2021-12-14,9513.0
2021-12-15,8279.0
2021-12-16,10168.0
2021-12-20,8666.0
2021-12-22,5905.0
2021-12-23,8247.0
