deliverydate,shippedqty
2021-01-09,132.0
2021-01-12,1654.0
2021-01-13,2278.0
2021-01-14,2618.0
2021-01-16,180.0
2021-01-19,2479.0
2021-01-21,1713.0
2021-01-23,727.0
2021-01-25,2311.0
2021-01-26,2781.0
2021-01-27,1908.0
2021-01-28,2838.0
2021-02-01,2637.0
2021-02-02,2426.0
2021-02-04,2014.0
2021-02-05,1871.0
2021-02-06,42.0
2021-02-08,141.0
2021-02-09,553.0
2021-02-10,1698.0
2021-02-11,2702.0
2021-02-16,1726.0
2021-02-17,1503.0
2021-02-18,2733.0
2021-02-19,150.0
2021-02-20,9.0
2021-02-22,2157.0
2021-02-23,2586.0
2021-03-03,2442.0
2021-03-04,2180.0
2021-03-05,1092.0
2021-03-06,198.0
2021-03-08,1186.0
2021-03-09,1368.0
2021-03-10,1028.0
2021-03-11,1317.0
2021-03-12,267.0
2021-03-13,51.0
2021-03-15,1568.0
2021-03-16,1250.0
2021-03-17,1108.0
2021-03-18,647.0
2021-03-19,803.0
2021-03-20,296.0
2021-03-22,1591.0
2021-03-23,695.0
2021-03-24,586.0
2021-03-25,954.0
2021-03-26,573.0
2021-03-27,66.0
2021-03-29,759.0
2021-03-30,854.0
2021-04-10,846.0
2021-04-13,572.0
2021-04-14,2133.0
2021-04-15,2329.0
2021-04-16,1722.0
2021-04-17,730.0
2021-04-19,2054.0
2021-04-20,2591.0
2021-04-21,992.0
2021-04-22,1537.0
2021-04-24,210.0
2021-04-27,577.0
2021-04-28,71.0
2021-04-29,2499.0
2021-05-03,1657.0
2021-05-04,756.0
2021-05-05,558.0
2021-05-06,504.0
2021-05-07,455.0
2021-05-08,356.0
2021-05-10,813.0
2021-05-11,141.0
2021-05-12,2861.0
2021-05-13,755.0
2021-05-14,1562.0
2021-05-15,1000.0
2021-05-17,567.0
2021-05-18,115.0
2021-05-20,2115.0
2021-05-21,1944.0
2021-05-22,1200.0
2021-05-28,784.0
2021-06-02,2537.0
2021-06-04,1001.0
2021-06-05,328.0
2021-06-07,1400.0
2021-06-08,802.0
2021-06-09,1917.0
2021-06-11,1194.0
2021-06-12,186.0
2021-06-15,1984.0
2021-06-16,521.0
2021-06-17,2603.0
2021-06-19,182.0
2021-06-21,2031.0
2021-06-22,12.0
2021-06-23,1918.0
2021-06-24,2324.0
2021-06-26,186.0
2021-06-28,2609.0
2021-07-03,254.0
2021-07-06,2153.0
2021-07-08,2368.0
2021-07-09,1174.0
2021-07-10,54.0
2021-07-13,895.0
2021-07-14,2078.0
2021-07-16,1457.0
2021-07-17,363.0
2021-07-19,2140.0
2021-07-20,232.0
2021-07-24,1486.0
2021-07-26,1486.0
2021-07-27,1620.0
2021-07-28,2344.0
2021-08-03,1168.0
2021-08-07,91.0
2021-08-09,2718.0
2021-08-11,2579.0
2021-08-14,128.0
2021-08-16,2535.0
2021-08-17,523.0
2021-08-18,858.0
2021-08-24,224.0
2021-08-25,2152.0
2021-08-26,193.0
2021-08-27,1019.0
2021-08-30,1360.0
2021-09-03,1519.0
2021-09-04,469.0
2021-09-07,263.0
2021-09-08,677.0
2021-09-09,1474.0
2021-09-10,1305.0
2021-09-11,1575.0
2021-09-14,638.0
2021-09-15,1922.0
2021-09-16,323.0
2021-09-17,2601.0
2021-09-18,407.0
2021-09-20,2191.0
2021-09-21,960.0
2021-09-23,1890.0
2021-10-04,1358.0
2021-10-07,773.0
2021-10-08,1146.0
2021-10-12,104.0
2021-10-16,404.0
2021-10-18,246.0
2021-10-20,110.0
2021-10-21,79.0
2021-10-22,2757.0
2021-10-23,3.0
2021-11-02,642.0
2021-11-17,1078.0
2021-11-18,1615.0
2021-11-20,6.0
2021-11-22,637.0
2021-11-23,881.0
2021-11-24,1330.0
2021-11-25,2544.0
2021-11-26,1568.0
2021-11-27,48.0
2021-11-29,2284.0
2021-12-03,1922.0
2021-12-06,642.0
2021-12-07,2213.0
2021-12-15,2076.0
2021-12-16,2495.0
2021-12-20,2404.0
2021-12-22,1953.0
